user_id,actions_total_count,average_action_duration,sessions_total_duration
00023iyk9l,10,12,31
0010k6l0om,13,4,7
001wyh0pz8,16,2,2
0028jgx1x1,8,5,4
002qnbzfs5,52,4,78
0031awlkjq,3,5,1
0035hobuyj,41,5,67
00378ocvlh,14,9,33
00389675gq,24,4,20
003iamz20l,22,4,17
0048rkdgb1,11,4,4
0057snrdpu,8,20,56
005jc3nbmb,8,25,81
005v5uf4dh,9,4,2
0063bawn05,10,17,55
006ml14zc1,8,4,3
006mls2sjw,25,6,37
006t3vhawl,8,8,8
006z8b0uws,5,14,13
0075z9e9xv,39,6,83
007gj7kqdk,3,19,16
009a40t3dk,8,21,57
00a8dbifj8,14,4,6
00allnceb8,0,0,0
00an0o6c07,14,4,7
00b9hfwaak,14,5,12
00bn6hu437,9,8,14
00bowi9sn3,4,7,2
00bqkh0g5i,0,2,0
00bxmflswn,17,12,72
00c8w2zol1,1,3,0
00cdlcsaxu,9,7,10
00cu8ilsh0,21,2,6
00cyqikqy3,2,25,15
00d41chbjd,7,18,41
00dj8as8yl,8,6,6
00du2h6jcx,9,6,7
00e4nxhdvv,13,2,1
00e8bokexa,1,1,0
00ep2pem90,7,11,17
00epe0uaxo,20,8,48
00eqsrxf1a,7,4,1
00fhpdik5t,8,4,2
00fn6wu77e,9,19,65
00fyswof3k,12,13,54
00g3pdo41k,11,4,4
00g52q8uim,15,3,5
00gnokb79e,10,5,5
00gpn5xx7t,21,11,87
00guzlz8b8,10,11,25
00hy2p1zsj,5,12,12
00iapy7gb3,5,22,38
00imb14nx5,0,4,0
00ipxpr25h,7,3,1
00j0znb0n6,22,4,15
00j993htr2,10,20,80
00j9fxfvut,2,3,0
00jbbo26ah,16,5,11
00jcwpqbl2,1,3,0
00jp2043rl,7,5,3
00kbbr6qom,3,25,28
00kc2e4bgp,20,7,36
00kdqzjqmm,6,4,1
00kpv7ok66,18,3,8
00lglrzikw,10,10,20
00ljwkmboz,25,7,53
00lmbolz20,2,47,54
00m6r72cz5,13,4,5
00mf69gfet,16,13,77
00mxgl4bmi,2,2,0
00nd20ya9v,23,8,64
00od2fx9cx,4,12,7
00pnmrr9y4,7,5,3
00pxs10250,14,11,48
00q5gbt7y3,4,29,51
00qhpquukc,1,1,0
00raoz1gfp,22,9,73
00rc560l5d,17,4,12
00rhdi533j,46,4,65
00ri3ux25n,6,16,27
00rri85g49,0,2,0
00rudms01g,10,19,77
00s1ecz3b2,7,10,12
00s4r7wk7c,4,6,2
00smy0z227,7,4,2
00tkidvaw5,15,3,5
00tol0jq6b,16,3,5
00u60lmz9p,5,14,16
00uh75242k,5,10,8
00urnt6rg8,33,7,90
00v0o06skl,26,4,18
00v3py7ooq,11,12,31
00v742bb74,10,6,7
00ycccvlbm,3,6,2
00ycgxqszj,8,20,56
00ye4r0vr2,3,9,3
00zfq9bobc,16,7,21
00zmemwtfc,14,13,65
0101qa70hh,20,4,11
0103eppomz,8,8,9
010u9xtmry,12,10,26
01154kld3t,15,2,2
01188d2ec6,18,8,34
011iw8wp1i,11,13,43
0123a3t7jn,4,10,6
012arqz80g,0,2,0
01416gkt5f,3,18,13
0159z3qxdu,8,8,9
015fy89ycb,8,13,22
015wz0i7jm,14,4,7
